X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
993914.287419622,157949.114945936,123,0.0834211389387,0.000296445173366,Homecrest,123,Brooklyn,39.090386,-77.055256
1025865.92980269,179609.977294894,124,0.127724410062,0.000754837821479,Howard Beach,124,Queens,40.658825,-73.84382
982261.075534438,203550.791285167,125,0.0497322121757,7.64293209892E-05,Hudson Sq,125,Manhattan,28.382489,-82.64803
1016089.08934677,235830.358490229,126,0.12994872606,0.0007032738273,Hunts Point,126,Bronx,47.643432,-122.230124
1006287.51727909,254453.325194835,127,0.0600188855815,0.000163195647796,Inwood,127,Manhattan,40.620492,-73.747376
1004872.84782517,257047.970533232,128,0.0702090290681,0.000207405982869,Inwood Hill Park,128,Manhattan,43.52424,-71.70091
1015442.38738364,215841.865001515,129,0.0932727273403,0.00047398833179,Jackson Heights,129,Queens,40.751146,-73.882508
1039607.0371342,195561.197422867,130,0.142028320665,0.000468322514327,Jamaica,130,Queens,41.820851,-94.319081
1047623.98748475,201824.868940538,131,0.116547120922,0.000423696152789,Jamaica Estates,131,Queens,41.820851,-94.319081
1045786.10238739,173472.41653466,132,0.24547851707,0.00203830095472,JFK Airport,132,Queens,35.475594,-83.290731
991372.550001823,172223.419860029,133,0.065134863162,0.000157188987507,Kensington,133,Brooklyn,37.898189,-122.27913
1031383.54732549,197539.029500251,134,0.0695878223284,0.000202375182143,Kew Gardens,134,Queens,40.707133,-73.829247
1033033.87940514,205069.296507088,135,0.121793045659,0.000467912240542,Kew Gardens Hills,135,Queens,41.555704,-91.530842
1010327.4168186,254362.625743629,136,0.0906287154122,0.000148524994129,Kingsbridge Heights,136,Bronx,40.878711,-73.905136
990590.519000137,209010.276122408,137,0.0461076242707,0.000116455098947,Kips Bay,137,Manhattan,35.7423,-90.56233
1019479.47176501,221607.47180155,138,0.107466933508,0.000536797294367,LaGuardia Airport,138,Queens,35.475594,-83.290731
1055445.23959605,186303.09116911,139,0.0932997884483,0.000446669880154,Laurelton,139,Queens,40.88313,-77.19859
996835.032220419,218174.790002842,140,0.0475842911325,0.000114203907779,Lenox Hill East,140,Manhattan,43.52424,-71.70091
995409.701765319,218659.383729107,141,0.0415144638712,7.66545579019E-05,Lenox Hill West,141,Manhattan,31.759903,-97.102936
989414.886084196,221232.172167978,142,0.0381758942321,7.56537920738E-05,Lincoln Square East,142,Manhattan,40.865142,-96.823133
987581.075605946,221911.050507076,143,0.0541798538849,0.00015109426901,Lincoln Square West,143,Manhattan,31.428425,-97.415016
984968.854761109,201803.794502699,144,0.0276201668505,4.74789670369E-05,Little Italy/NoLiTa,144,Manhattan,34.937589,-92.585995
998464.788930705,211283.66479493,145,0.114313844981,0.000346641733797,Long Island City/Hunters Point,145,Queens,40.301838,-80.15431
1002636.94002534,214178.874401878,146,0.0471405215717,0.000104638923425,Long Island City/Queens Plaza,146,Queens,40.732893,-73.868836
1012428.66827791,237749.646591346,147,0.0587654949268,0.000106418172757,Longwood,147,Bronx,38.85817,-76.078832
986822.878437821,201304.868259006,148,0.0391305015633,6.97489921327E-05,Lower East Side,148,Manhattan,43.363723,-124.192889
998557.138035727,160266.031156131,149,0.0836805821837,0.000270639618955,Madison,149,Brooklyn,43.06956,-89.423861
1000115.54178746,150686.81851231,150,0.089331491183,0.000332568036088,Manhattan Beach,150,Brooklyn,40.68863,-74.018244
993163.01243401,229962.8097155,151,0.0548899410999,0.000128848901918,Manhattan Valley,151,Manhattan,40.68863,-74.018244
996892.499731515,237145.858730729,152,0.0579094768782,0.000146637644064,Manhattanville,152,Manhattan,40.816944,-73.955833
1008845.68205686,258295.095590665,153,0.024737239022,3.24684964817E-05,Marble Hill,153,Manhattan,37.306063,-89.982306
1013099.18523582,155382.640411806,154,0.22733157076,0.00178968692433,Marine Park/Floyd Bennett Field,154,Brooklyn,40.611991,-73.933043
1010132.94721633,164367.180206488,155,0.169808473032,0.000868261018498,Marine Park/Mill Basin,155,Brooklyn,40.610089,-73.910998
938488.847328779,168389.426741801,156,0.144476890476,0.0010521217443,Mariners Harbor,156,Staten Island,40.63677,-74.158755
1011434.31415621,203078.823074499,157,0.131300217777,0.000354370128323,Maspeth,157,Queens,40.722848,-73.908413
981926.019727659,207147.398963803,158,0.0548099905515,0.000185568253002,Meatpacking/West Village West,158,Manhattan,31.759903,-97.102936
1008169.27097055,237402.933201557,159,0.064363233206,0.00017124910387,Melrose South,159,Bronx,37.329217,-86.364699
1017317.01603831,201069.353813223,160,0.14151914297,0.000571234977994,Middle Village,160,Queens,40.71649,-73.88125
990502.253134193,215519.865935086,161,0.0358039100611,7.19130682992E-05,Midtown Center,161,Manhattan,35.879519,-84.564102
991966.940592138,215006.459744733,162,0.0352698146219,4.78936962112E-05,Midtown East,162,Manhattan,35.879519,-84.564102
990242.622712972,217778.289481736,163,0.0341768669752,4.08567804196E-05,Midtown North,163,Manhattan,33.61571,-81.10204
988148.815732625,212087.794423389,164,0.0357716119908,5.56318237441E-05,Midtown South,164,Manhattan,37.329217,-86.364699
996852.655478841,165511.64530682,165,0.088608036213,0.000353959317019,Midwood,165,Brooklyn,40.619063,-73.965372
994820.493139652,234227.640381807,166,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,38.830113,-76.891362
1010695.36369408,240950.032370105,167,0.0908159737292,0.000167529391193,Morrisania/Melrose,167,Bronx,43.250807,-123.242303
1007211.15074227,233459.918303862,168,0.114517434155,0.000547058100444,Mott Haven/Port Morris,168,Bronx,40.905099,-74.684884
1010526.81763943,248647.129450623,169,0.0601046580332,0.000146027537733,Mount Hope,169,Bronx,37.823852,-97.637834
990638.973214594,211668.106692963,170,0.0457690091051,7.43150675972E-05,Murray Hill,170,Manhattan,40.275626,-80.157279
1037188.86786093,219481.435865003,171,0.107353876244,0.000520099538161,Murray Hill-Queens,171,Queens,40.784006,-73.811612
955378.054274702,147858.167632852,172,0.118476116148,0.000658402501406,New Dorp/Midland Beach,172,Staten Island,37.369814,-83.428794
1022184.76329935,213199.769013241,173,0.0600639661414,0.000178329851357,North Corona,173,Queens,33.61571,-81.10204
1018054.72653658,258762.417515788,174,0.0678177559602,0.000155928664422,Norwood,174,Bronx,39.155615,-84.459664
1051486.5576537,210164.456712759,175,0.134897665102,0.000504920726134,Oakland Gardens,175,Queens,40.742772,-73.758831
